Customer ID,Recency,Frequency,Monetary,Cluster
12489,336,1,334.93,0
12491,39,1,460.4,1
12492,63,3,715.21,1
12493,166,2,433.74,3
12494,16,9,1815.27,2
12495,641,1,357.4,0
12496,620,2,45.34,0
12498,21,3,403.7,1
12499,560,1,393.72,0
12501,337,1,2169.39,3
12502,96,5,3723.87,2
12503,584,1,1126.0,3
12504,18,4,779.05,1
12505,409,1,955.2,3
12506,233,1,73.5,0
12507,134,4,1844.06,3
12508,26,2,397.88,1
12509,284,1,176.5,0
12511,429,1,3084.02,3
12512,66,2,132.18,0
12513,113,1,612.29,1
12514,267,2,1597.76,3
12515,353,1,383.7,0
12516,78,4,2648.62,2
12517,28,5,2481.6,2
12518,1,5,2056.89,2
12519,64,2,716.54,1
12520,79,5,2634.26,2
12521,143,1,599.68,0
12522,39,2,192.72,1
12525,498,3,973.73,3
12526,1,3,1316.66,1
12527,82,5,735.51,3
12528,9,6,1933.48,2
12529,528,1,316.48,0
12530,60,9,3759.26,2
12531,15,2,1933.2,1
12532,30,1,349.83,1
12533,628,2,1367.89,3
12534,131,1,1089.18,3
12535,92,2,716.35,1
12537,409,1,732.94,0
12538,29,2,640.45,1
12541,30,3,981.18,1
12542,484,2,481.88,3
12543,448,1,980.25,3
12544,36,1,372.7,1
12545,75,2,1000.39,1
12546,47,2,1161.5,1
12547,198,3,383.58,3
12548,166,1,95.2,0
12549,576,6,1575.68,3
12550,79,1,964.83,1
12551,358,1,168.0,0
12552,39,2,437.82,1
12554,449,1,468.5,0
12555,682,1,129.23,0
12556,50,2,599.56,1
12558,8,1,269.96,1
12559,311,2,561.71,3
12560,5,3,2134.01,2
12561,303,1,238.85,0
12563,409,1,249.24,0
12564,261,1,456.9,0
12565,289,1,145.92,0
12566,86,1,351.65,0
12568,645,1,70.0,0
12570,682,1,77.52,0
12571,40,2,519.61,1
12572,9,2,1020.42,1
12573,227,5,717.41,3
12574,316,1,218.45,0
12575,457,2,622.82,3
12576,36,8,2142.72,2
12577,35,8,1617.1,2
12579,78,1,440.42,1
12580,247,2,1052.9,3
12581,40,1,197.71,1
12582,239,4,1980.4,3
12584,4,9,2338.15,2
12585,234,2,2040.1,3
12586,17,4,2062.67,2
12587,8,1,144.0,1
12588,39,4,958.78,1
12591,317,3,1338.95,3
12592,92,5,2582.66,2
12593,109,3,418.1,3
12595,505,1,299.02,0
12596,51,2,618.27,1
12597,19,4,3811.22,2
12599,29,13,2296.72,2
12601,190,6,681.26,3
12602,59,1,153.12,0
12603,22,1,739.2,1
12604,79,2,254.18,1
12605,376,4,1232.95,3
12606,682,1,21.0,0
12607,60,1,1579.51,1
12608,405,1,415.79,0
12609,78,9,3435.86,2
12610,23,5,2099.54,2
12611,52,1,1193.32,1
12612,74,1,704.04,1
12614,278,1,315.6,0
12616,95,3,1131.1,3
12617,29,1,352.98,1
12618,22,1,177.31,1
12619,16,10,3781.38,2
12620,15,3,1339.41,1
12622,232,1,180.1,0
12623,276,7,3747.84,3
12624,106,2,641.13,3
12628,4,3,786.46,1
12629,386,2,1558.22,3
12630,10,2,1270.88,1
12631,57,6,3481.57,2
12632,521,2,804.88,3
12634,536,2,490.0,3
12635,90,4,2930.41,2
12636,739,1,141.0,0
12638,33,2,921.49,1
12639,239,3,1312.37,3
12640,24,3,1174.58,1
12641,115,1,185.9,0
12642,25,3,1013.26,1
12644,130,4,1918.49,3
12645,34,8,3539.3,2
12646,5,2,1346.97,1
12648,155,4,1112.0,3
12649,107,8,2294.65,2
12650,3,1,314.44,1
12651,335,4,377.75,3
12652,331,2,1017.03,3
12654,11,5,601.98,1
12655,424,1,261.35,0
12657,11,4,1643.18,2
12658,19,1,686.05,1
12659,30,1,91.68,1
12660,11,1,245.1,1
12661,436,1,162.0,0
12663,625,2,239.4,0
12665,325,3,313.6,3
12666,394,1,1248.42,3
12667,58,1,620.13,1
12669,151,3,2744.03,3
12670,10,7,3760.29,2
12671,606,1,2622.48,3
12672,330,2,437.05,0
12673,5,3,1230.02,1
12674,39,4,1970.6,2
12675,554,2,957.25,3
12676,25,11,2843.09,2
12677,555,2,395.1,0
12679,59,4,1113.02,3
12680,1,4,880.81,1
12684,8,7,2283.63,2
12685,28,6,2863.08,2
12686,372,1,89.14,0
12687,481,2,2138.91,3
12689,26,2,1247.61,1
12690,206,1,389.01,0
12691,28,7,1170.4,2
12692,637,1,110.95,0
12693,127,7,1703.02,2
12694,70,3,1843.35,3
12695,7,7,1407.12,2
12696,435,2,851.91,3
12697,29,3,957.59,1
12698,590,1,339.75,0
12699,418,1,638.11,0
12701,80,6,2446.41,2
12702,20,1,219.0,1
12703,71,4,1006.53,3
12704,7,8,2340.84,2
12707,292,1,603.42,0
12710,97,3,1149.02,3
12711,612,2,1339.05,3
12713,1,1,848.55,1
12715,106,1,343.36,0
12716,4,2,1053.49,1
12717,151,3,1308.91,3
12718,71,1,238.25,0
12719,5,2,644.95,1
12722,85,4,997.63,3
12723,4,5,725.07,2
12724,5,7,2317.52,2
12725,371,4,2266.76,3
12728,71,5,1070.17,2
12729,114,1,453.01,0
12730,522,1,829.25,0
12732,180,1,236.26,0
12733,234,4,2424.87,3
12734,353,3,639.65,3
12735,315,2,779.57,3
12736,333,1,234.0,0
12737,499,2,3710.5,3
12738,372,1,155.35,0
12739,78,4,2726.73,2
12740,64,1,427.6,1
12741,529,2,406.07,0
12742,626,1,1201.52,3
12743,134,2,540.13,3
12745,487,3,925.41,3
12746,541,1,254.55,0
12750,129,1,275.88,0
12751,445,1,268.27,0
12754,236,3,3010.74,3
12756,87,1,112.08,0
12760,456,1,347.8,0
12761,458,2,782.95,3
12762,8,2,1898.52,1
12763,138,2,494.08,3
12764,317,1,1693.88,3
12765,472,6,1404.58,3
12767,376,1,949.82,3
12768,451,1,168.69,0
12769,239,1,1143.6,3
12770,211,2,3246.45,3
12771,486,1,282.3,0
12772,60,1,892.47,1
12773,564,1,124.25,0
12774,536,1,98.7,0
12775,17,7,1686.12,2
12776,668,1,55.5,0
12777,458,1,519.45,0
12778,20,9,1775.68,2
12780,599,1,337.4,0
12781,64,2,826.74,1
12783,2,6,2225.91,2
12784,9,3,1763.15,1
12785,364,3,1100.4,3
12786,610,1,728.5,0
12787,10,4,862.18,1
12788,463,4,444.9,3
12789,65,3,273.35,1
12790,192,2,591.85,3
12791,374,6,863.51,3
12792,257,2,827.01,3
12793,335,3,885.53,3
12794,53,2,860.41,1
12795,19,1,430.48,1
12796,628,1,381.0,0
12797,366,2,552.08,3
12799,529,1,219.35,0
12800,470,3,584.25,3
12801,501,1,1071.82,3
12802,187,7,2416.42,2
12803,393,1,1092.81,3
12804,466,2,325.37,0
12805,382,4,1434.95,3
12806,435,4,2878.96,3
12807,383,1,330.35,0
12808,37,5,776.7,2
12809,178,3,1755.94,3
12810,535,2,534.99,3
12811,261,5,1033.9,3
12812,45,1,229.64,1
12813,502,3,1687.8,3
12814,102,1,125.92,0
12815,148,2,1063.46,3
12816,96,2,572.2,1
12817,281,3,690.98,3
12818,262,1,1542.08,3
12819,458,1,540.52,0
12820,3,11,2689.52,2
12821,214,2,220.8,0
12822,71,2,948.88,1
12824,60,1,397.12,1
12825,521,2,518.63,3
12826,3,12,2800.75,2
12827,6,3,430.15,1
12828,3,6,1018.71,2
12829,337,3,385.3,3
12831,262,3,451.11,3
12832,32,2,383.03,1
12833,145,1,417.38,0
12834,283,1,312.38,0
12837,173,2,662.66,3
12838,34,10,2975.91,2
12842,70,4,1917.99,2
12844,29,4,648.6,1
12845,267,4,354.09,3
12846,682,1,15.58,0
12847,22,2,1609.0,1
12848,676,1,208.0,0
12849,31,6,3042.47,2
12850,446,1,330.0,0
12851,97,2,280.76,1
12852,295,1,311.55,0
12853,135,11,3907.5,2
12854,79,7,2970.97,2
12855,373,4,612.84,3
12856,8,6,2170.78,2
12857,211,6,3688.0,3
12858,383,1,147.27,0
12859,459,1,575.1,0
12860,693,1,54.22,0
12861,620,1,68.25,0
12862,426,2,984.62,3
12863,52,6,2792.55,2
12864,138,2,299.57,0
12865,26,4,3323.47,2
12866,283,3,1227.35,3
12868,186,8,2043.76,2
12869,682,1,337.67,0
12870,375,3,1676.95,3
12871,84,3,744.02,3
12872,327,12,3283.96,2
12873,282,3,2027.3,3
12874,385,2,948.42,3
12875,143,5,1356.99,3
12878,236,2,854.99,3
12879,45,3,573.22,1
12880,382,2,640.13,3
12881,276,1,298.0,0
12882,9,2,1463.04,1
12883,25,4,703.47,1
12884,88,1,309.05,0
12885,63,3,1175.22,3
12886,68,2,1378.4,3
12887,384,1,222.4,0
12888,214,2,354.12,0
12889,381,4,385.46,3
12890,24,2,706.02,1
12891,186,11,840.5,2
12892,397,1,263.38,0
12893,31,1,176.55,1
12894,575,1,157.35,0
12895,42,2,372.8,1
12897,205,4,514.25,3
12898,464,2,296.21,0
12899,414,1,366.4,0
12900,422,1,340.33,0
12902,265,1,138.68,0
12903,429,1,833.53,0
12904,18,2,496.06,1
12905,577,2,1018.42,3
12906,12,5,2919.81,2
12907,396,2,508.91,3
12908,176,5,1776.0,3
12909,40,8,3103.19,2
12911,552,1,1651.72,3
12912,3,5,1662.3,2
12914,401,1,223.98,0
12915,149,4,975.1,3
12919,8,6,1335.19,2
12920,17,4,486.64,1
12922,161,1,405.38,0
12923,64,3,770.42,1
12924,88,12,2469.4,2
12925,5,3,729.33,1
12926,411,4,1523.97,3
12927,395,1,197.31,0
12929,312,1,117.85,0
12930,78,2,415.8,1
12932,539,8,1698.56,3
12933,24,8,1636.63,2
12934,737,1,181.65,0
12936,17,4,1063.9,2
12937,15,9,3097.61,2
12938,26,1,114.14,1
12940,55,2,899.69,1
12941,724,1,377.49,0
12942,131,3,675.6,3
12943,558,2,496.5,3
12944,36,2,604.51,1
12945,288,2,900.11,3
12946,437,1,324.45,0
12947,144,6,1603.99,3
12948,16,9,2317.43,2
12950,2,3,1843.0,2
12951,9,15,3213.72,2
12952,6,4,1387.79,2
12953,10,2,828.81,1
12954,639,1,162.45,0
12956,306,4,521.89,3
12958,400,2,467.34,0
12959,484,1,150.95,0
12960,414,4,1322.07,3
12961,379,1,211.99,0
12962,7,2,266.39,1
12963,8,12,3235.79,2
12964,437,1,132.24,0
12965,89,1,769.81,1
12966,10,1,160.18,1
12967,358,3,2938.52,3
12968,112,1,135.95,0
12969,603,1,122.45,0
12970,7,10,1453.6,2
12972,414,4,1161.2,3
12973,414,1,385.55,0
12974,198,2,408.95,0
12975,437,6,2100.09,3
12976,212,8,3156.38,2
12977,156,4,513.88,3
12978,385,5,2502.82,3
12979,729,1,517.7,0
12981,30,2,372.22,1
12982,243,8,2744.81,2
12983,598,1,490.08,0
12984,19,1,97.5,1
12985,1,2,1239.38,1
12986,429,10,2729.84,3
12987,74,5,1312.21,2
12988,292,1,505.82,0
12990,31,7,955.5,2
12991,23,3,764.82,1
12992,725,1,93.35,0
12993,23,8,1259.63,2
12994,4,3,974.42,1
12995,85,1,211.32,0
12996,376,1,355.5,0
12997,22,8,2110.91,2
12998,493,3,920.08,3
12999,196,3,455.88,3
13000,107,4,1032.5,3
13002,318,3,414.13,3
13003,106,3,149.05,0
13005,174,4,999.68,3
13006,56,1,81.57,0
13007,580,1,175.25,0
13008,323,3,612.13,3
13009,673,1,234.0,0
13010,374,2,330.12,0
13011,372,1,50.55,0
13012,9,11,2957.83,2
13016,73,3,789.89,3
13017,7,1,204.0,1
13019,379,6,1229.95,3
13020,563,2,618.96,3
13022,430,1,65.3,0
13023,64,3,1449.03,3
13024,471,2,555.87,3
13025,732,1,323.39,0
13026,1,9,1733.08,2
13028,23,2,661.32,1
13029,31,5,1927.3,2
13030,11,2,752.44,1
13031,407,5,3292.84,3
13032,52,9,2815.96,2
13033,357,2,220.55,0
13034,55,3,756.82,1
13035,74,3,1364.2,3
13036,685,1,307.1,0
13037,138,12,3914.95,2
13038,80,3,908.46,3
13039,584,4,1010.73,3
13040,9,2,676.99,1
13041,451,4,799.13,3
13042,598,3,1488.59,3
13043,273,1,516.42,0
13045,99,3,808.92,3
13046,31,3,949.25,1
13049,64,4,1408.24,3
13051,579,2,155.8,0
13052,212,7,3119.33,2
13053,622,1,127.65,0
13055,78,4,2321.11,2
13056,551,1,209.48,0
13057,530,3,709.59,3
13058,25,3,271.4,1
13059,250,10,2291.77,2
13060,254,1,307.53,0
13061,72,1,248.61,0
13062,191,1,346.98,0
13063,481,1,188.4,0
13064,13,6,1666.84,2
13065,373,5,1055.05,3
13066,24,2,470.8,1
13067,82,3,508.51,1
13068,10,2,344.0,1
13070,192,4,751.7,3
13071,612,1,129.22,0
13072,267,1,177.15,0
13073,411,2,418.08,0
13074,511,4,1378.74,3
13075,130,1,919.61,3
13076,458,1,135.4,0
13077,1,11,2740.65,2
13079,4,6,419.18,1
13080,179,4,280.73,3
13083,4,3,395.43,1
13084,492,1,122.4,0
13085,158,8,2433.28,2
13086,383,1,439.33,0
13087,726,1,313.64,0
13088,417,1,236.11,0
13091,28,3,2321.82,2
13092,71,12,2140.28,2
13094,21,13,2209.44,2
13095,71,1,74.4,0
13096,394,1,419.7,0
13099,99,1,207.36,0
13101,234,4,695.4,3
13103,40,3,709.64,1
13104,3,9,1709.1,2
13105,436,1,72.0,0
13106,133,2,603.46,3
13108,373,2,748.46,3
13109,60,3,1134.03,3
13110,31,12,2957.47,2
13111,719,1,321.88,0
13112,541,1,20.6,0
13114,731,1,234.38,0
13116,138,1,501.14,0
13118,20,9,2415.41,2
13119,669,1,134.9,0
13120,239,1,30.6,0
13121,269,1,283.73,0
13122,94,2,922.39,3
13123,473,2,506.75,3
13125,524,1,148.62,0
13126,5,13,3774.81,2
13127,78,1,259.17,0
13128,631,1,263.5,0
13129,452,2,233.25,0
13130,94,1,64.0,0
13131,23,7,3313.77,2
13132,262,1,77.3,0
13133,274,3,200.45,0
13134,86,6,2475.23,2
13135,197,2,3371.45,3
13138,22,7,1274.01,2
13140,108,5,1054.92,3
13142,19,1,307.09,1
13143,585,1,405.1,0
13144,333,2,135.35,0
13145,40,7,1128.52,2
13146,26,1,228.91,1
13147,10,4,712.8,1
13149,14,4,1676.06,2
13150,484,3,449.97,3
13151,296,3,2465.21,3
13152,417,7,2146.38,3
13153,6,1,486.22,1
13154,399,3,1624.84,3
13155,33,6,1370.48,2
13156,385,3,1586.54,3
13158,95,5,1508.18,3
13159,9,4,1429.35,2
13160,22,1,91.8,1
13161,313,2,472.13,3
13163,610,1,17.65,0
13164,569,2,372.2,0
13165,46,3,1451.16,1
13166,283,2,875.93,3
13167,19,5,1125.15,2
13168,36,5,1840.73,2
13169,64,3,840.08,1
13170,27,1,108.81,1
13171,22,3,468.41,1
13172,400,1,69.6,0
13173,4,11,2399.82,2
13175,582,2,831.45,3
13176,46,1,481.49,1
13177,65,2,512.2,1
13179,619,1,572.31,0
13180,607,1,86.1,0
13181,381,1,359.69,0
13182,45,1,121.18,0
13184,15,10,1668.95,2
13185,268,1,71.4,0
13186,40,3,1575.89,1
13187,337,4,341.36,3
13188,11,1,114.6,1
13189,19,2,260.68,1
13190,544,3,570.66,3
13191,658,1,164.69,0
13192,95,6,2558.58,2
13193,61,1,112.08,0
13194,136,2,472.78,3
13195,414,1,136.73,0
13196,11,7,3068.84,2
13197,610,1,373.01,0
13200,19,4,870.09,1
13201,502,4,1233.06,3
13202,394,7,1580.3,3
13203,10,10,2648.25,2
13204,731,1,966.66,3
13205,443,1,2803.2,3
13207,15,4,535.86,1
13208,59,9,1976.3,2
13210,94,1,353.48,0
13211,10,10,2618.77,2
13212,20,3,786.83,1
13213,57,11,3851.52,2
13214,418,7,3264.23,3
13215,402,1,81.6,0
13216,268,1,333.74,0
13217,122,4,666.48,3
13218,127,1,62.64,0
13219,618,1,76.23,0
13220,78,5,1336.09,2
13221,240,2,847.41,3
13222,577,1,88.5,0
13223,200,6,969.12,3
13224,60,2,2155.95,3
13226,273,2,312.46,0
13227,202,1,257.7,0
13228,81,1,358.0,1
13229,226,1,160.95,0
13232,13,7,1328.35,2
13233,74,4,1176.46,3
13234,673,2,346.5,0
13235,212,1,1031.07,3
13236,25,2,744.85,1
13237,388,1,643.0,0
13238,17,6,1006.63,2
13239,262,5,1594.69,3
13240,96,8,1475.79,2
13241,412,1,112.53,0
13242,112,7,699.4,3
13243,203,5,1220.38,3
13244,93,1,121.74,0
13245,51,2,989.22,1
13246,18,11,3351.75,2
13247,18,4,501.12,1
13248,125,2,465.68,3
13249,92,9,1608.93,2
13250,461,2,253.09,0
13251,402,1,252.68,0
13252,394,2,399.3,0
13253,157,4,2951.11,3
13254,376,1,51.41,0
13255,9,3,678.76,1
13257,436,1,149.75,0
13258,12,5,1009.43,2
13259,62,9,1402.54,2
13260,61,1,557.62,1
13261,269,2,944.1,3
13262,263,3,573.45,3
13264,443,1,722.56,0
13265,53,5,2092.66,2
13268,18,11,3174.75,2
13270,366,1,590.0,0
13271,37,1,211.49,1
13272,31,2,276.56,1
13273,113,1,138.98,0
13274,409,1,360.85,0
13275,384,2,238.86,0
13276,64,5,1891.91,2
13277,16,7,523.3,2
13278,41,4,1435.85,2
13279,78,1,137.75,0
13280,122,7,2293.33,2
13281,439,1,350.85,0
13282,18,4,1313.19,2
13283,60,4,373.36,1
13284,331,1,201.19,0
13285,23,6,3364.59,2
13286,600,1,734.91,0
13287,603,3,781.59,3
13288,443,5,927.61,3
13289,724,1,307.95,0
13290,438,1,208.63,0
13291,156,11,3270.79,2
13292,39,5,994.51,2
13293,392,6,1192.94,3
13294,190,3,1689.53,3
13295,360,4,1101.97,3
13296,137,6,792.51,3
13298,1,1,360.0,1
13299,268,3,1218.7,3
13300,169,3,1285.51,3
13301,104,4,618.09,3
13302,155,2,159.2,0
13303,400,1,61.72,0
13304,351,4,1217.99,3
13305,4,16,3616.41,2
13306,430,1,53.65,0
13307,120,3,273.34,1
13308,23,4,1670.37,2
13309,7,6,1706.37,2
13310,28,5,1541.2,2
13311,4,2,598.57,1
13312,451,1,124.75,0
13313,22,12,3445.32,2
13314,2,3,775.94,1
13315,689,1,310.26,0
13318,1,3,640.76,1
13320,78,6,2211.6,2
13321,72,2,567.36,1
13322,17,1,199.48,1
13323,3,5,787.85,2
13325,82,1,675.3,1
13326,432,1,281.76,0
13328,316,1,1308.48,3
13330,93,6,2796.1,2
13331,402,1,262.4,0
13332,14,1,350.9,1
13333,411,3,1015.74,3
13336,77,1,795.12,1
13337,546,1,1575.26,3
13338,158,4,2445.62,3
13339,201,1,860.12,3
13341,261,1,775.85,0
13343,178,1,353.43,0
13344,68,3,2511.69,3
13345,288,1,389.5,0
13346,463,6,299.4,3
13347,70,1,341.36,1
13348,64,1,233.76,0
13349,11,1,247.32,1
13350,16,2,979.12,1
13351,66,1,373.94,1
13352,60,1,397.98,1
13354,71,1,743.53,1
13355,122,1,674.7,1
13356,80,1,768.24,1
13357,257,5,3805.51,3
13358,269,1,439.03,0
13359,64,2,1043.31,1
13360,432,4,1553.65,3
13361,472,2,1450.5,3
13363,18,3,1723.86,1
13364,71,1,134.96,0
13365,34,2,2225.37,1
13366,50,1,56.16,0
13367,432,1,510.2,0
13368,257,4,1121.5,3
13369,366,1,308.28,0
13370,372,1,754.87,0
13371,505,2,2297.66,3
13372,90,1,378.64,0
13374,415,2,422.8,0
13375,89,2,1792.23,3
13376,99,3,1019.76,3
13377,397,2,1552.88,3
13379,26,3,572.56,1
13380,433,1,62.4,0
13382,281,5,1387.58,3
13383,544,1,305.28,0
13385,330,1,534.57,0
13386,414,2,835.46,3
13387,417,1,186.94,0
13388,131,3,1185.65,3
13389,11,3,797.96,1
13390,75,1,544.08,1
13391,204,1,59.8,0
13392,677,1,91.14,0
13393,584,4,1131.45,3
13395,185,3,1180.23,3
13396,29,2,1360.99,1
13397,73,10,3191.87,2
13398,192,2,670.34,3
13399,464,3,275.4,0
13400,583,1,310.83,0
13402,127,4,1226.85,3
13403,18,3,229.5,1
13404,1,2,252.49,1
13405,74,6,1213.81,2
13406,427,2,568.92,3
13407,579,3,2244.7,3
13410,24,9,2201.96,2
13411,107,1,213.55,0
13412,620,1,487.35,0
13413,640,6,429.44,3
13414,134,6,2494.14,2
13415,473,4,784.17,3
13416,44,3,940.8,1
13417,5,6,1669.49,2
13419,64,1,221.06,0
13420,150,2,159.85,0
13422,64,1,2626.3,1
13423,429,1,217.03,0
13424,450,1,572.77,0
13425,108,5,3390.43,2
13427,19,6,1006.53,2
13428,10,3,478.54,1
13429,11,4,1006.8,1
13430,19,2,679.45,1
13431,67,8,3316.24,2
13432,571,2,439.1,0
13433,501,4,658.32,3
13434,74,5,1666.86,2
13436,2,1,196.89,1
13437,14,7,3408.06,2
13438,547,1,46.5,0
13439,255,3,986.61,3
13440,423,7,1295.25,3
13441,92,2,720.9,1
13442,667,3,419.87,3
13443,449,6,1273.16,3
13444,374,2,619.08,3
13445,626,1,241.9,0
13446,430,11,3881.89,2
13447,23,3,1129.14,1
13449,24,1,291.88,1
13452,259,3,729.8,3
13453,166,3,781.69,3
13454,641,1,219.87,0
13455,25,6,2212.99,2
13456,18,6,1766.72,2
13457,689,2,148.22,0
13459,625,2,1160.41,3
13460,29,2,183.44,1
13462,253,5,1153.85,3
13464,58,6,3097.64,2
13465,446,2,931.12,3
13466,184,5,1013.35,3
13467,11,2,1071.91,1
13469,653,1,82.4,0
13470,99,2,165.0,0
13471,1,4,2501.84,2
13472,464,2,592.24,3
13473,61,8,2657.76,2
13474,236,3,646.59,3
13475,191,4,1431.78,3
13476,179,5,2061.47,3
13477,38,11,2819.17,2
13478,469,5,2215.78,3
13479,201,4,851.37,3
13480,417,2,627.82,3
13481,46,11,3830.84,2
13482,232,2,336.09,0
13483,66,1,140.34,0
13484,241,3,790.72,3
13485,233,11,3019.22,2
13486,78,3,1122.41,3
13487,58,5,846.87,2
13489,105,4,449.52,3
13490,654,1,154.25,0
13492,136,3,1269.84,3
13493,275,2,618.63,3
13494,312,1,316.26,0
13496,11,2,653.33,1
13497,283,6,1166.83,3
13498,730,1,327.38,0
13499,18,5,1159.11,2
13500,23,4,1466.3,2
13501,288,3,2885.11,3
13502,17,5,780.5,2
13503,71,6,1859.24,2
13504,64,1,295.93,1
13506,316,5,1338.08,3
13507,3,4,2479.16,2
13508,244,2,287.05,0
13509,9,8,1114.72,2
13511,677,1,282.76,0
13512,261,4,713.39,3
13513,127,3,824.59,3
13514,74,4,815.9,3
13515,73,6,1265.82,2
13516,21,4,1685.26,2
13517,60,3,2128.42,3
13518,86,1,627.16,1
13519,78,2,343.21,1
13521,1,3,1071.73,1
13522,30,1,125.8,1
13524,41,5,680.18,2
13525,15,2,628.78,1
13526,738,2,1182.0,3
13529,79,2,307.76,1
13530,634,1,402.98,0
13531,205,6,1433.07,3
13532,34,1,210.31,1
13533,183,3,269.09,0
13535,403,1,89.5,0
13536,1,7,3444.39,2
13537,426,2,717.85,3
13538,43,12,3103.13,2
13539,86,7,1569.36,2
13540,467,3,632.39,3
13541,427,2,785.25,3
13543,634,2,1439.61,3
13544,40,6,790.2,2
13545,391,2,364.93,0
13546,12,5,1086.24,2
13547,408,1,167.08,0
13548,96,3,901.44,3
13549,26,8,1005.8,2
13550,383,1,342.55,0
13551,319,2,244.2,0
13553,675,1,499.6,0
13554,380,7,1629.35,3
13556,429,2,200.82,0
13557,28,13,3032.26,2
13558,6,4,594.52,1
13559,513,2,990.0,3
13560,7,1,171.42,1
13561,216,11,1803.4,2
13563,84,2,777.53,1
13565,19,3,414.8,1
13566,41,5,1688.6,2
13567,428,4,1079.29,3
13568,173,1,187.05,0
13569,17,4,726.54,1
13570,243,1,239.49,0
13572,206,1,1384.25,3
13573,50,6,904.52,2
13574,411,1,404.45,0
13575,23,5,732.07,2
13577,25,11,3489.28,2
13578,409,1,147.66,0
13579,15,5,1374.34,2
13580,406,1,107.75,0
13581,309,2,280.53,0
13582,390,2,241.68,0
13583,156,2,1445.03,3
13584,307,3,385.7,3
13585,531,3,684.54,3
13586,541,1,127.28,0
13587,64,4,1673.5,2
13588,16,9,2478.95,2
13589,15,6,1120.74,2
13591,65,7,2093.94,2
13592,36,4,247.96,1
13594,53,2,533.32,1
13595,517,3,784.48,3
13596,6,2,664.11,1
13597,400,2,396.71,0
13598,47,5,761.96,2
13600,312,2,518.42,3
13601,45,4,1159.99,2
13602,65,4,1025.17,3
13603,26,1,164.34,1
13604,659,1,717.62,0
13605,387,2,522.67,3
13606,29,3,276.75,1
13607,40,2,1075.81,1
13608,541,1,232.05,0
13609,593,1,167.35,0
13610,12,14,2103.71,2
13611,89,10,3297.93,2
13612,633,1,818.29,0
13613,453,5,1039.85,3
13614,24,6,2332.74,2
13616,568,2,283.85,0
13617,40,8,1278.75,2
13618,174,1,177.34,0
13619,545,2,224.94,0
13620,528,1,112.34,0
13621,117,1,213.85,0
13622,696,1,658.95,0
13623,31,10,2533.06,2
13624,388,1,462.08,0
13625,597,1,301.26,0
13626,253,2,707.04,3
13627,59,7,2245.9,2
13628,676,1,310.14,0
